time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
1.72,1.0038452027422633,1.9194194986073612,0.16557496891839776,-0.5155821962394669,-1.0062269181846786,-0.076842769177552
1.73,0.9880656228532337,1.8846245859291837,0.1615006035113367,-0.5057015400109346,-0.9873806723253867,-0.07522776314243863
1.74,0.972617076979943,1.8504962017282103,0.15740115385326042,-0.49597536924113517,-0.9688757103081046,-0.07365375160390603
1.75,0.9574750143887432,1.8170427854444018,0.15328389331324427,-0.48640061909724774,-0.9507052824536606,-0.07212091267077358
1.76,0.9426146670326929,1.7842696376117382,0.14915676978026554,-0.4769744724269208,-0.9328625860775432,-0.07062934497297092
1.77,0.9280111399317567,1.7521790444480876,0.1450283360610996,-0.46769436102760326,-0.9153407956330624,-0.06917906161235993
1.78,0.9136395142106059,1.7207704122809613,0.14090767312825025,-0.4585579658854972,-0.8981330915102528,-0.06776998488107742
1.79,0.899474956584464,1.6900404090933898,0.13680430717052333,-0.44956321631965257,-0.8812326874193189,-0.06640194180937219
1.8,0.8854928279266087,1.6599831115602417,0.13272812152535196,-0.4407082880403865,-0.8646328563037166,-0.06507466059411866
1.81,0.8716687813292283,1.6305901568075098,0.12868926478539167,-0.4319916002270942,-0.8483269547356415,-0.06378776794626474
1.82,0.857978835878752,1.601850898884908,0.12469805667655637,-0.4234118118683067,-0.8323084457467924,-0.06254078737949918
1.83,0.8443994042513816,1.5737525707713402,0.12076489385704176,-0.41496781782579284,-0.816570920039079,-0.06133313844092877
1.84,0.8309072356620798,1.546280453900065,0.11690015894472378,-0.406658745469172,-0.8011081155000784,-0.06016413685148153
1.85,0.8174791987993,1.5194180591314104,0.11311413892621722,-0.39848395348117904,-0.7859139349087644,-0.05903299546221936
1.86,0.8040917343522065,1.493147326775523,0.10941696769247666,-0.39044303613765696,-0.7709824616410091,-0.05793882578529459
1.87,0.7907194920674134,1.4674488623104207,0.10581864286303441,-0.3825358412169828,-0.756307973017905,-0.05688063935666425
1.8800000000000001,0.7773308686868906,1.4423022647910555,0.10232944526603102,-0.3747625325301139,-0.7418849503699945,-0.05585734490400394
1.8900000000000001,0.763869761190163,1.4176868673919103,0.09896205142985995,-0.36712383491821227,-0.7277080816960754,-0.05486772438970534
1.9000000000000001,0.7502572827759173,1.3935853531767053,0.09572260744235295,-0.3596212620904531,-0.7137722281643083,-0.05391049831528181
1.9100000000000001,0.7365259056814124,1.369982215577247,0.09260663751731643,-0.35225600303363896,-0.7000724060085358,-0.05298443194010864
1.92,0.7227410837393307,1.3468557775754308,0.08962377081707736,-0.34502859219624565,-0.6866038482327815,-0.05208819423193787
1.93,0.7089551432896477,1.324181876420145,0.0867782724454809,-0.3379390407633492,-0.67336202946858,-0.05122041150748306
