time,xi_x,xi_y,xi_z,dx_x,dx_y,dx_z,x_x,x_y,x_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.67,0.13449432654266413,0.12349318922992564,-0.0775922285767896,-15.885373252497942,-5.599912356413288,-5.69494304394087,4.082862729994864,0.1484183299881614,1.8631160190127865,-0.01828180786591524,-0.019126767341179907,-0.047521306395766794,0.045532896045318974,0.04395786129833283,0.040842218204238195,1.8611991411589708,1.703949312884754,-1.0460505763721966
0.68,0.1314241799031457,0.12119542145940226,-0.07464681514539584,-16.627952045463594,-5.485546808359704,-5.543072074738713,3.916583209540228,0.09356286190456437,1.8076852982653993,-0.020149545661912627,-0.02020745247126049,-0.04763692402580433,0.04533140058869985,0.04375578677362023,0.040365848963980155,1.8177155902919333,1.6710767110775397,-1.0039684006482064
0.6900000000000001,0.12973942151232531,0.11913130627512139,-0.07185978792558023,-17.217602725876798,-5.449482186006967,-5.348485283667627,3.74440718228146,0.0390680400444947,1.754200445428723,-0.020514308672160808,-0.020991147826457085,-0.04761860514393776,0.04512625750197824,0.043545875295355654,0.03988966291254078,1.793701308832147,1.6414772427508462,-0.9642497957108416
0.7000000000000001,0.13155637716315915,0.11776684429460234,-0.06948003619007115,-17.38365055723655,-5.4558434414138555,-5.127156894385466,3.5705706767090946,-0.015490394369643855,1.7029288764848682,-0.01735912866619485,-0.021031444137004016,-0.0472254984445811,0.04495266621531629,0.043335560853985614,0.03941740792809497,1.8191759638615648,1.6218159241679677,-0.9303744483056058
0.71,0.1377750904631374,0.11735327991805994,-0.06809422849722657,-16.983475380394218,-5.470892481088287,-4.99107152081161,3.4007359229051524,-0.07019931918052671,1.653018161276752,-0.010012484662777849,-0.02012434765863197,-0.04589240657137063,0.044852541368688506,0.04313431737739929,0.038958483862381266,1.9065642685621935,1.6157072287497036,-0.9105024459688128
0.72,0.1449744771025836,0.11687396361579377,-0.06722387464681634,-16.355943901692484,-5.581197193147928,-4.920420853720451,3.2371764838882275,-0.12601129111200599,1.6038139527395476,-0.002164388889609792,-0.019345635101394837,-0.04415030151144035,0.04483089747979241,0.04294086102638534,0.03851698084726686,2.007115488635032,1.6086683184657777,-0.897879217752132
0.73,0.15107796056380485,0.1159275191522923,-0.06620831611223132,-15.729561793180608,-5.804459266179554,-4.8374286269016125,3.0798808659564214,-0.18405588377380153,1.5554396664705314,0.004079146020118746,-0.019087962787143753,-0.042680236613810735,0.0448716889399936,0.0427499813985139,0.03809017848112875,2.091739907508299,1.5949688116303475,-0.8832638491070887
0.74,0.15681624367059488,0.11513052515894101,-0.06519029816615807,-15.043146138292181,-6.053127770072818,-4.755061334923926,2.9294494045734996,-0.2445871614745297,1.5078890531212923,0.009553426030288581,-0.018701909266627875,-0.04132122366825265,0.04496722320029648,0.04256296230584762,0.037676966244446226,2.170731785437374,1.5834000892150601,-0.8686509707193443
0.75,0.16228576799453043,0.11470731311818602,-0.06427681363871951,-14.29713234524806,-6.284961353364535,-4.689930461636827,2.786478081121019,-0.307436775008175,1.460989748504924,0.014403764534756835,-0.017970851292894247,-0.03995759340366836,0.04511126084564405,0.04238325379291868,0.037277390310409546,2.2454704146836213,1.5771697299556604,-0.8555277664527103
0.76,0.16706375800560913,0.11454799893091627,-0.06333225009710874,-13.54706373687406,-6.496511568484077,-4.626368502685418,2.6510074437522784,-0.37240189069301577,1.4147260634780698,0.01824585653206237,-0.017025542149762984,-0.03872288867529626,0.045293719410964675,0.04221299837142105,0.03689016142365659,2.3103056220030456,1.5747147870748506,-0.8420056296340737
